"diameter","sample"
74.03,1
74.002,1
74.019,1
73.992,1
74.008,1
73.995,2
73.992,2
74.001,2
74.011,2
74.004,2
73.988,3
74.024,3
74.021,3
74.005,3
74.002,3
74.002,4
73.996,4
73.993,4
74.015,4
74.009,4
73.992,5
74.007,5
74.015,5
73.989,5
74.014,5
74.009,6
73.994,6
73.997,6
73.985,6
73.993,6
73.995,7
74.006,7
73.994,7
74,7
74.005,7
73.985,8
74.003,8
73.993,8
74.015,8
73.988,8
74.008,9
73.995,9
74.009,9
74.005,9
74.004,9
73.998,10
74,10
73.99,10
74.007,10
73.995,10
73.994,11
73.998,11
73.994,11
73.995,11
73.99,11
74.004,12
74,12
74.007,12
74,12
73.996,12
73.983,13
74.002,13
73.998,13
73.997,13
74.012,13
74.006,14
73.967,14
73.994,14
74,14
73.984,14
74.012,15
74.014,15
73.998,15
73.999,15
74.007,15
74,16
73.984,16
74.005,16
73.998,16
73.996,16
73.994,17
74.012,17
73.986,17
74.005,17
74.007,17
74.006,18
74.01,18
74.018,18
74.003,18
74,18
73.984,19
74.002,19
74.003,19
74.005,19
73.997,19
74,20
74.01,20
74.013,20
74.02,20
74.003,20
73.988,21
74.001,21
74.009,21
74.005,21
73.996,21
74.004,22
73.999,22
73.99,22
74.006,22
74.009,22
74.01,23
73.989,23
73.99,23
74.009,23
74.014,23
74.015,24
74.008,24
73.993,24
74,24
74.01,24
73.982,25
73.984,25
73.995,25
74.017,25
74.013,25
74.012,26
74.015,26
74.03,26
73.986,26
74,26
73.995,27
74.01,27
73.99,27
74.015,27
74.001,27
73.987,28
73.999,28
73.985,28
74,28
73.99,28
74.008,29
74.01,29
74.003,29
73.991,29
74.006,29
74.003,30
74,30
74.001,30
73.986,30
73.997,30
73.994,31
74.003,31
74.015,31
74.02,31
74.004,31
74.008,32
74.002,32
74.018,32
73.995,32
74.005,32
74.001,33
74.004,33
73.99,33
73.996,33
73.998,33
74.015,34
74,34
74.016,34
74.025,34
74,34
74.03,35
74.005,35
74,35
74.016,35
74.012,35
74.001,36
73.99,36
73.995,36
74.01,36
74.024,36
74.015,37
74.02,37
74.024,37
74.005,37
74.019,37
74.035,38
74.01,38
74.012,38
74.015,38
74.026,38
74.017,39
74.013,39
74.036,39
74.025,39
74.026,39
74.01,40
74.005,40
74.029,40
74,40
74.02,40
